event_id,direction,ts_utc,source_pax_id,corruption
1,out,2026-01-15T06:00:02.226628Z,1,original
2,out,2026-01-15T06:00:04.546487Z,2,original
3,out,2026-01-15T06:00:07.347966Z,,spurious
4,in,2026-01-15T06:00:07.790752Z,4,original
5,in,2026-01-15T06:00:08.953939Z,2,original
6,in,2026-01-15T06:00:11.543584Z,6,original
7,in,2026-01-15T06:00:14.353031Z,3,original
8,out,2026-01-15T06:00:15.771568Z,3,original
9,in,2026-01-15T06:00:16.557778Z,7,original
10,out,2026-01-15T06:00:30.035542Z,5,original
11,out,2026-01-15T06:00:34.883002Z,4,original
12,out,2026-01-15T06:00:35.755417Z,6,original
13,in,2026-01-15T06:00:39.187151Z,8,original
14,out,2026-01-15T06:00:42.216759Z,7,original
15,in,2026-01-15T06:00:49.197451Z,9,original
16,in,2026-01-15T06:00:51.242599Z,10,original
17,in,2026-01-15T06:00:54.507914Z,11,original
18,in,2026-01-15T06:00:58.620913Z,12,original
19,in,2026-01-15T06:00:59.307740Z,13,original
20,out,2026-01-15T06:01:04.461677Z,8,original
21,in,2026-01-15T06:01:05.903951Z,14,original
22,out,2026-01-15T06:01:07.438438Z,9,original
23,out,2026-01-15T06:01:08.990118Z,10,original
24,in,2026-01-15T06:01:09.666170Z,15,original
25,out,2026-01-15T06:01:39.790997Z,11,original
26,out,2026-01-15T06:01:41.831820Z,12,original
27,in,2026-01-15T06:01:44.929359Z,17,original
28,out,2026-01-15T06:01:49.331897Z,,spurious
29,out,2026-01-15T06:01:55.433355Z,14,original
30,out,2026-01-15T06:01:55.834816Z,13,original
31,in,2026-01-15T06:02:01.675711Z,18,original
32,out,2026-01-15T06:02:07.028815Z,15,original
33,out,2026-01-15T06:02:12.106211Z,16,original
34,out,2026-01-15T06:02:14.014045Z,17,original
35,in,2026-01-15T06:02:15.821992Z,19,original
36,in,2026-01-15T06:02:42.131917Z,20,original
37,in,2026-01-15T06:02:43.744428Z,22,original
38,in,2026-01-15T06:02:43.918224Z,23,original
39,out,2026-01-15T06:02:44.002309Z,18,original
40,out,2026-01-15T06:02:54.779319Z,20,original
41,out,2026-01-15T06:02:55.276202Z,19,original
42,out,2026-01-15T06:03:00.043439Z,22,original
43,out,2026-01-15T06:03:00.304294Z,21,original
44,in,2026-01-15T06:03:02.067815Z,24,original
45,out,2026-01-15T06:03:07.413126Z,23,original
46,in,2026-01-15T06:03:14.442233Z,26,original
47,in,2026-01-15T06:03:21.439724Z,25,original
48,in,2026-01-15T06:03:22.338339Z,28,original
49,out,2026-01-15T06:03:22.784388Z,24,original
50,out,2026-01-15T06:03:24.157585Z,26,original
51,out,2026-01-15T06:03:25.363418Z,25,original
52,in,2026-01-15T06:03:26.466759Z,27,original
53,out,2026-01-15T06:03:36.056435Z,28,original
54,out,2026-01-15T06:03:36.256555Z,27,original
55,in,2026-01-15T06:03:46.979235Z,29,original
56,out,2026-01-15T06:03:57.232477Z,29,original
57,in,2026-01-15T06:04:07.948794Z,30,original
58,out,2026-01-15T06:04:09.578657Z,30,original
59,in,2026-01-15T06:04:10.425906Z,32,original
60,in,2026-01-15T06:04:11.498444Z,33,original
61,out,2026-01-15T06:04:12.181804Z,31,original
62,in,2026-01-15T06:04:13.955821Z,34,original
63,in,2026-01-15T06:04:15.085775Z,31,original
64,in,2026-01-15T06:04:15.519811Z,35,original
65,in,2026-01-15T06:04:19.107055Z,37,original
66,in,2026-01-15T06:04:20.512275Z,36,original
67,in,2026-01-15T06:04:24.444510Z,38,original
68,out,2026-01-15T06:04:25.470550Z,32,original
69,in,2026-01-15T06:04:35.702156Z,39,original
70,in,2026-01-15T06:04:40.068986Z,40,original
71,in,2026-01-15T06:04:43.600813Z,41,original
72,in,2026-01-15T06:04:49.459155Z,42,original
73,out,2026-01-15T06:04:49.725067Z,33,original
74,out,2026-01-15T06:04:53.976521Z,34,original
75,in,2026-01-15T06:04:54.829950Z,43,original
76,out,2026-01-15T06:04:57.040062Z,35,original
77,out,2026-01-15T06:05:03.011193Z,36,original
78,out,2026-01-15T06:05:05.454254Z,38,original
79,out,2026-01-15T06:05:05.722640Z,37,original
80,out,2026-01-15T06:05:07.896489Z,39,original
81,in,2026-01-15T06:05:41.675965Z,47,original
82,out,2026-01-15T06:05:48.839352Z,40,original
83,in,2026-01-15T06:05:55.663899Z,48,original
84,in,2026-01-15T06:06:20.085205Z,49,original
85,in,2026-01-15T06:06:25.235718Z,51,original
86,out,2026-01-15T06:06:27.157067Z,41,original
87,out,2026-01-15T06:06:38.361676Z,42,original
88,out,2026-01-15T06:06:46.878770Z,43,original
89,out,2026-01-15T06:06:47.412804Z,44,original
90,out,2026-01-15T06:06:49.940800Z,45,original
91,out,2026-01-15T06:07:05.337146Z,47,original
92,out,2026-01-15T06:07:13.083025Z,48,original
93,out,2026-01-15T06:07:14.034011Z,46,original
94,in,2026-01-15T06:07:18.311840Z,52,original
95,in,2026-01-15T06:07:26.341823Z,54,original
96,in,2026-01-15T06:07:30.251427Z,53,original
97,out,2026-01-15T06:07:36.753698Z,49,original
98,out,2026-01-15T06:07:47.529661Z,50,original
99,out,2026-01-15T06:07:48.373703Z,51,original
100,out,2026-01-15T06:07:58.077537Z,52,original
101,in,2026-01-15T06:08:01.817161Z,55,original
102,out,2026-01-15T06:08:04.274610Z,,spurious
103,out,2026-01-15T06:08:06.582802Z,53,original
104,out,2026-01-15T06:08:12.004209Z,54,original
105,out,2026-01-15T06:08:13.954946Z,55,original
106,in,2026-01-15T06:08:32.062307Z,59,original
107,in,2026-01-15T06:08:34.749648Z,57,original
108,in,2026-01-15T06:08:40.196979Z,58,original
109,out,2026-01-15T06:08:50.691385Z,57,original
110,out,2026-01-15T06:08:50.977546Z,56,original
111,in,2026-01-15T06:08:54.364066Z,60,original
112,out,2026-01-15T06:09:00.651528Z,58,original
113,out,2026-01-15T06:09:05.127864Z,59,original
114,in,2026-01-15T06:09:08.997941Z,62,original
115,out,2026-01-15T06:09:09.809908Z,60,original
116,out,2026-01-15T06:09:15.517167Z,61,original
117,out,2026-01-15T06:09:15.835294Z,62,original
118,out,2026-01-15T06:09:31.875007Z,63,original
119,in,2026-01-15T06:09:34.893241Z,63,original
120,in,2026-01-15T06:10:00.714159Z,64,original
121,in,2026-01-15T06:10:09.532074Z,65,original
122,out,2026-01-15T06:10:14.629591Z,64,original
123,in,2026-01-15T06:10:15.269833Z,67,original
124,in,2026-01-15T06:10:16.671752Z,66,original
125,out,2026-01-15T06:10:25.675600Z,65,original
126,out,2026-01-15T06:10:33.930237Z,67,original
127,out,2026-01-15T06:10:36.882912Z,66,original
128,out,2026-01-15T06:10:41.681380Z,68,original
129,in,2026-01-15T06:11:02.071779Z,70,original
130,out,2026-01-15T06:11:09.972944Z,69,original
131,out,2026-01-15T06:11:11.882071Z,70,original
132,in,2026-01-15T06:11:12.190742Z,72,original
133,out,2026-01-15T06:11:13.100328Z,71,original
134,out,2026-01-15T06:11:14.158899Z,72,original
135,in,2026-01-15T06:11:16.626510Z,73,original
136,in,2026-01-15T06:11:17.889223Z,74,original
137,out,2026-01-15T06:11:22.958750Z,74,original
138,out,2026-01-15T06:11:24.409750Z,73,original
139,in,2026-01-15T06:11:32.615895Z,75,original
140,in,2026-01-15T06:11:32.917586Z,76,original
141,out,2026-01-15T06:11:44.039089Z,,spurious
142,out,2026-01-15T06:11:44.050906Z,75,original
143,in,2026-01-15T06:11:47.390222Z,79,original
144,in,2026-01-15T06:11:50.041962Z,78,original
145,out,2026-01-15T06:11:54.475777Z,76,original
146,in,2026-01-15T06:11:59.925554Z,80,original
147,in,2026-01-15T06:12:11.042670Z,85,original
148,in,2026-01-15T06:12:12.059861Z,81,original
149,in,2026-01-15T06:12:12.361992Z,84,original
150,in,2026-01-15T06:12:12.958591Z,82,original
151,in,2026-01-15T06:12:14.933102Z,83,original
152,in,2026-01-15T06:12:17.907336Z,88,original
153,out,2026-01-15T06:12:19.177039Z,77,original
154,in,2026-01-15T06:12:20.407245Z,86,original
155,in,2026-01-15T06:12:20.887626Z,87,original
156,out,2026-01-15T06:12:24.307198Z,78,original
157,out,2026-01-15T06:12:28.057982Z,79,original
158,out,2026-01-15T06:12:30.817548Z,80,original
159,out,2026-01-15T06:12:38.450672Z,81,original
160,out,2026-01-15T06:12:38.918691Z,82,original
161,in,2026-01-15T06:12:50.083277Z,90,original
162,in,2026-01-15T06:12:57.078327Z,91,original
163,out,2026-01-15T06:13:11.678430Z,83,original
164,out,2026-01-15T06:13:19.555640Z,84,original
165,out,2026-01-15T06:13:24.874835Z,85,original
166,in,2026-01-15T06:13:30.628904Z,96,original
167,out,2026-01-15T06:13:37.732579Z,86,original
168,in,2026-01-15T06:13:46.708666Z,99,original
169,in,2026-01-15T06:13:53.324977Z,103,original
170,out,2026-01-15T06:13:54.192347Z,87,original
171,in,2026-01-15T06:13:56.449108Z,101,original
172,in,2026-01-15T06:13:57.629675Z,102,original
173,in,2026-01-15T06:13:57.747315Z,98,original
174,in,2026-01-15T06:14:01.633912Z,100,original
175,out,2026-01-15T06:14:03.117968Z,88,original
176,out,2026-01-15T06:14:06.112677Z,,spurious
177,out,2026-01-15T06:14:14.836834Z,89,original
178,out,2026-01-15T06:14:18.599684Z,90,original
179,out,2026-01-15T06:14:27.814307Z,91,original
180,out,2026-01-15T06:14:43.036150Z,92,original
181,out,2026-01-15T06:14:45.242462Z,93,original
182,out,2026-01-15T06:14:54.254476Z,94,original
183,out,2026-01-15T06:15:05.362903Z,95,original
184,out,2026-01-15T06:15:09.750907Z,96,original
185,out,2026-01-15T06:15:15.058798Z,97,original
186,in,2026-01-15T06:15:20.710466Z,106,original
187,in,2026-01-15T06:15:24.264101Z,107,original
188,out,2026-01-15T06:15:28.046190Z,98,original
189,in,2026-01-15T06:15:33.304630Z,108,original
190,out,2026-01-15T06:15:38.009051Z,100,original
191,out,2026-01-15T06:15:40.968453Z,99,original
192,out,2026-01-15T06:15:43.785148Z,101,original
193,out,2026-01-15T06:15:44.626797Z,102,original
194,in,2026-01-15T06:15:52.169123Z,109,original
195,out,2026-01-15T06:15:53.081624Z,103,original
196,in,2026-01-15T06:15:54.410080Z,110,original
197,in,2026-01-15T06:16:02.766570Z,112,original
198,in,2026-01-15T06:16:07.962955Z,113,original
199,out,2026-01-15T06:16:08.778352Z,104,original
200,in,2026-01-15T06:16:20.886657Z,114,original
201,out,2026-01-15T06:16:21.551589Z,105,original
202,in,2026-01-15T06:16:29.387831Z,115,original
203,in,2026-01-15T06:16:29.514788Z,116,original
204,in,2026-01-15T06:16:33.290278Z,118,original
205,out,2026-01-15T06:16:36.804968Z,106,original
206,in,2026-01-15T06:16:40.339718Z,119,original
207,in,2026-01-15T06:16:40.630237Z,117,original
208,in,2026-01-15T06:16:52.385846Z,120,original
209,out,2026-01-15T06:16:53.225726Z,109,original
210,out,2026-01-15T06:16:54.143224Z,,spurious
211,out,2026-01-15T06:16:56.090266Z,108,original
212,in,2026-01-15T06:17:04.232416Z,121,original
213,out,2026-01-15T06:17:11.568746Z,110,original
214,out,2026-01-15T06:17:18.567715Z,112,original
215,out,2026-01-15T06:17:22.270489Z,111,original
216,in,2026-01-15T06:17:22.546385Z,122,original
217,in,2026-01-15T06:17:29.902090Z,123,original
218,out,2026-01-15T06:17:36.745169Z,113,original
219,in,2026-01-15T06:17:48.532134Z,124,original
220,out,2026-01-15T06:17:56.914810Z,114,original
221,out,2026-01-15T06:18:07.601602Z,115,original
222,in,2026-01-15T06:18:14.734802Z,127,original
223,in,2026-01-15T06:18:26.218049Z,128,original
224,out,2026-01-15T06:18:36.875539Z,116,original
225,in,2026-01-15T06:18:42.875520Z,129,original
226,in,2026-01-15T06:18:42.905584Z,130,original
227,out,2026-01-15T06:18:46.427349Z,117,original
228,out,2026-01-15T06:18:56.733562Z,118,original
229,out,2026-01-15T06:19:09.909874Z,119,original
230,out,2026-01-15T06:19:17.541017Z,120,original
231,in,2026-01-15T06:19:22.173153Z,132,original
232,in,2026-01-15T06:19:24.780692Z,131,original
233,in,2026-01-15T06:19:26.184477Z,133,original
234,out,2026-01-15T06:19:32.438560Z,121,original
235,in,2026-01-15T06:19:34.136083Z,134,original
