minute_start_utc,in_count,out_count,naive_occupancy_end
2026-01-15T06:00:00Z,11,8,3
2026-01-15T06:01:00Z,3,8,-2
2026-01-15T06:02:00Z,5,6,-3
2026-01-15T06:03:00Z,6,9,-6
2026-01-15T06:04:00Z,14,6,2
2026-01-15T06:05:00Z,2,5,-1
2026-01-15T06:06:00Z,2,5,-4
2026-01-15T06:07:00Z,3,7,-8
2026-01-15T06:08:00Z,5,6,-9
2026-01-15T06:09:00Z,2,6,-13
2026-01-15T06:10:00Z,4,5,-14
2026-01-15T06:11:00Z,9,9,-14
2026-01-15T06:12:00Z,10,6,-10
2026-01-15T06:13:00Z,6,5,-9
2026-01-15T06:14:00Z,1,8,-16
2026-01-15T06:15:00Z,5,9,-20
2026-01-15T06:16:00Z,9,6,-17
2026-01-15T06:17:00Z,4,5,-18
2026-01-15T06:18:00Z,4,4,-18
2026-01-15T06:19:00Z,4,6,-20
2026-01-15T06:20:00Z,6,9,-23
2026-01-15T06:21:00Z,6,10,-27
2026-01-15T06:22:00Z,5,8,-30
2026-01-15T06:23:00Z,5,8,-33
2026-01-15T06:24:00Z,5,6,-34
2026-01-15T06:25:00Z,9,3,-28
2026-01-15T06:26:00Z,6,7,-29
2026-01-15T06:27:00Z,5,7,-31
2026-01-15T06:28:00Z,3,12,-40
2026-01-15T06:29:00Z,5,3,-38
2026-01-15T06:30:00Z,8,8,-38
2026-01-15T06:31:00Z,3,7,-42
2026-01-15T06:32:00Z,8,7,-41
2026-01-15T06:33:00Z,5,7,-43
2026-01-15T06:34:00Z,4,5,-44
2026-01-15T06:35:00Z,8,4,-40
2026-01-15T06:36:00Z,6,8,-42
2026-01-15T06:37:00Z,6,7,-43
2026-01-15T06:38:00Z,3,4,-44
2026-01-15T06:39:00Z,10,9,-43
2026-01-15T06:40:00Z,6,4,-41
2026-01-15T06:41:00Z,4,5,-42
2026-01-15T06:42:00Z,7,6,-41
2026-01-15T06:43:00Z,7,6,-40
2026-01-15T06:44:00Z,6,8,-42
2026-01-15T06:45:00Z,6,7,-43
2026-01-15T06:46:00Z,8,7,-42
2026-01-15T06:47:00Z,1,4,-45
2026-01-15T06:48:00Z,5,6,-46
2026-01-15T06:49:00Z,3,8,-51
2026-01-15T06:50:00Z,2,7,-56
2026-01-15T06:51:00Z,7,10,-59
2026-01-15T06:52:00Z,5,6,-60
2026-01-15T06:53:00Z,2,12,-70
2026-01-15T06:54:00Z,5,7,-72
2026-01-15T06:55:00Z,3,6,-75
2026-01-15T06:56:00Z,4,7,-78
2026-01-15T06:57:00Z,9,8,-77
2026-01-15T06:58:00Z,1,6,-82
2026-01-15T06:59:00Z,3,1,-80
2026-01-15T07:00:00Z,3,8,-85
2026-01-15T07:01:00Z,5,8,-88
2026-01-15T07:02:00Z,5,5,-88
2026-01-15T07:03:00Z,3,5,-90
2026-01-15T07:04:00Z,9,10,-91
2026-01-15T07:05:00Z,4,6,-93
2026-01-15T07:06:00Z,6,7,-94
2026-01-15T07:07:00Z,6,8,-96
2026-01-15T07:08:00Z,2,5,-99
2026-01-15T07:09:00Z,5,4,-98
2026-01-15T07:10:00Z,4,8,-102
2026-01-15T07:11:00Z,3,5,-104
2026-01-15T07:12:00Z,5,6,-105
2026-01-15T07:13:00Z,7,9,-107
2026-01-15T07:14:00Z,2,4,-109
2026-01-15T07:15:00Z,5,6,-110
2026-01-15T07:16:00Z,4,6,-112
2026-01-15T07:17:00Z,1,3,-114
2026-01-15T07:18:00Z,3,3,-114
2026-01-15T07:19:00Z,6,5,-113
2026-01-15T07:20:00Z,5,6,-114
2026-01-15T07:21:00Z,10,6,-110
2026-01-15T07:22:00Z,5,12,-117
2026-01-15T07:23:00Z,8,7,-116
2026-01-15T07:24:00Z,7,13,-122
2026-01-15T07:25:00Z,4,8,-126
2026-01-15T07:26:00Z,5,6,-127
2026-01-15T07:27:00Z,9,5,-123
2026-01-15T07:28:00Z,1,6,-128
2026-01-15T07:29:00Z,4,7,-131
2026-01-15T07:30:00Z,8,5,-128
2026-01-15T07:31:00Z,3,7,-132
2026-01-15T07:32:00Z,4,6,-134
2026-01-15T07:33:00Z,3,5,-136
2026-01-15T07:34:00Z,5,5,-136
2026-01-15T07:35:00Z,6,10,-140
2026-01-15T07:36:00Z,6,11,-145
2026-01-15T07:37:00Z,7,5,-143
2026-01-15T07:38:00Z,7,5,-141
2026-01-15T07:39:00Z,4,7,-144
2026-01-15T07:40:00Z,4,9,-149
2026-01-15T07:41:00Z,7,4,-146
2026-01-15T07:42:00Z,6,8,-148
2026-01-15T07:43:00Z,7,10,-151
2026-01-15T07:44:00Z,6,8,-153
2026-01-15T07:45:00Z,3,6,-156
2026-01-15T07:46:00Z,7,7,-156
2026-01-15T07:47:00Z,5,9,-160
2026-01-15T07:48:00Z,4,4,-160
2026-01-15T07:49:00Z,3,5,-162
2026-01-15T07:50:00Z,3,2,-161
2026-01-15T07:51:00Z,12,9,-158
2026-01-15T07:52:00Z,4,2,-156
2026-01-15T07:53:00Z,2,10,-164
2026-01-15T07:54:00Z,2,5,-167
2026-01-15T07:55:00Z,9,7,-165
2026-01-15T07:56:00Z,3,9,-171
2026-01-15T07:57:00Z,5,7,-173
2026-01-15T07:58:00Z,7,12,-178
2026-01-15T07:59:00Z,4,5,-179
2026-01-15T08:00:00Z,8,6,-177
2026-01-15T08:01:00Z,8,7,-176
2026-01-15T08:02:00Z,3,7,-180
2026-01-15T08:03:00Z,4,8,-184
2026-01-15T08:04:00Z,1,2,-185
2026-01-15T08:05:00Z,1,3,-187
2026-01-15T08:06:00Z,2,2,-187
2026-01-15T08:07:00Z,6,5,-186
2026-01-15T08:08:00Z,2,8,-192
2026-01-15T08:09:00Z,1,2,-193
2026-01-15T08:10:00Z,5,6,-194
2026-01-15T08:11:00Z,5,2,-191
2026-01-15T08:12:00Z,7,3,-187
2026-01-15T08:13:00Z,7,4,-184
2026-01-15T08:14:00Z,3,6,-187
2026-01-15T08:15:00Z,4,9,-192
2026-01-15T08:16:00Z,5,5,-192
2026-01-15T08:17:00Z,5,9,-196
2026-01-15T08:18:00Z,2,6,-200
2026-01-15T08:19:00Z,2,5,-203
2026-01-15T08:20:00Z,6,6,-203
2026-01-15T08:21:00Z,6,10,-207
2026-01-15T08:22:00Z,4,5,-208
2026-01-15T08:23:00Z,3,5,-210
2026-01-15T08:24:00Z,6,9,-213
2026-01-15T08:25:00Z,3,3,-213
2026-01-15T08:26:00Z,3,4,-214
2026-01-15T08:27:00Z,4,6,-216
2026-01-15T08:28:00Z,7,3,-212
2026-01-15T08:29:00Z,5,9,-216
2026-01-15T08:30:00Z,9,12,-219
2026-01-15T08:31:00Z,8,7,-218
2026-01-15T08:32:00Z,6,8,-220
2026-01-15T08:33:00Z,0,4,-224
2026-01-15T08:34:00Z,2,5,-227
2026-01-15T08:35:00Z,8,9,-228
2026-01-15T08:36:00Z,2,6,-232
2026-01-15T08:37:00Z,5,5,-232
2026-01-15T08:38:00Z,3,2,-231
2026-01-15T08:39:00Z,7,7,-231
2026-01-15T08:40:00Z,6,6,-231
2026-01-15T08:41:00Z,6,4,-229
2026-01-15T08:42:00Z,8,5,-226
2026-01-15T08:43:00Z,6,13,-233
2026-01-15T08:44:00Z,3,5,-235
2026-01-15T08:45:00Z,4,11,-242
2026-01-15T08:46:00Z,2,6,-246
2026-01-15T08:47:00Z,6,7,-247
2026-01-15T08:48:00Z,4,10,-253
2026-01-15T08:49:00Z,6,8,-255
2026-01-15T08:50:00Z,3,4,-256
2026-01-15T08:51:00Z,2,4,-258
2026-01-15T08:52:00Z,2,2,-258
2026-01-15T08:53:00Z,5,6,-259
2026-01-15T08:54:00Z,10,6,-255
2026-01-15T08:55:00Z,4,6,-257
2026-01-15T08:56:00Z,6,11,-262
2026-01-15T08:57:00Z,3,7,-266
2026-01-15T08:58:00Z,3,2,-265
2026-01-15T08:59:00Z,1,10,-274
2026-01-15T09:00:00Z,7,5,-272
2026-01-15T09:01:00Z,8,6,-270
2026-01-15T09:02:00Z,6,6,-270
2026-01-15T09:03:00Z,11,7,-266
2026-01-15T09:04:00Z,4,6,-268
2026-01-15T09:05:00Z,10,9,-267
2026-01-15T09:06:00Z,9,9,-267
2026-01-15T09:07:00Z,7,9,-269
2026-01-15T09:08:00Z,9,13,-273
2026-01-15T09:09:00Z,4,6,-275
2026-01-15T09:10:00Z,14,8,-269
