minute_start_utc,in_count,out_count,naive_occupancy_end
2026-01-15T06:00:00Z,11,7,4
2026-01-15T06:01:00Z,6,7,3
2026-01-15T06:02:00Z,5,7,1
2026-01-15T06:03:00Z,6,8,-1
2026-01-15T06:04:00Z,13,8,4
2026-01-15T06:05:00Z,5,4,5
2026-01-15T06:06:00Z,3,5,3
2026-01-15T06:07:00Z,3,6,0
2026-01-15T06:08:00Z,7,8,-1
2026-01-15T06:09:00Z,2,5,-4
2026-01-15T06:10:00Z,5,5,-4
2026-01-15T06:11:00Z,11,7,0
2026-01-15T06:12:00Z,12,6,6
2026-01-15T06:13:00Z,11,5,12
2026-01-15T06:14:00Z,2,6,8
2026-01-15T06:15:00Z,6,9,5
2026-01-15T06:16:00Z,9,6,8
2026-01-15T06:17:00Z,5,5,8
2026-01-15T06:18:00Z,6,4,10
2026-01-15T06:19:00Z,2,7,5
2026-01-15T06:20:00Z,7,7,5
2026-01-15T06:21:00Z,10,11,4
2026-01-15T06:22:00Z,5,8,1
2026-01-15T06:23:00Z,5,8,-2
2026-01-15T06:24:00Z,6,6,-2
2026-01-15T06:25:00Z,11,4,5
2026-01-15T06:26:00Z,7,6,6
2026-01-15T06:27:00Z,6,8,4
2026-01-15T06:28:00Z,3,12,-5
2026-01-15T06:29:00Z,5,3,-3
2026-01-15T06:30:00Z,10,8,-1
2026-01-15T06:31:00Z,4,7,-4
2026-01-15T06:32:00Z,10,7,-1
2026-01-15T06:33:00Z,7,7,-1
2026-01-15T06:34:00Z,5,6,-2
2026-01-15T06:35:00Z,8,3,3
2026-01-15T06:36:00Z,8,7,4
2026-01-15T06:37:00Z,9,6,7
2026-01-15T06:38:00Z,4,3,8
2026-01-15T06:39:00Z,12,9,11
2026-01-15T06:40:00Z,6,4,13
2026-01-15T06:41:00Z,6,5,14
2026-01-15T06:42:00Z,7,6,15
2026-01-15T06:43:00Z,8,6,17
2026-01-15T06:44:00Z,6,7,16
2026-01-15T06:45:00Z,6,8,14
2026-01-15T06:46:00Z,9,8,15
2026-01-15T06:47:00Z,3,3,15
2026-01-15T06:48:00Z,6,6,15
2026-01-15T06:49:00Z,4,8,11
2026-01-15T06:50:00Z,5,6,10
2026-01-15T06:51:00Z,9,11,8
2026-01-15T06:52:00Z,5,6,7
2026-01-15T06:53:00Z,3,13,-3
2026-01-15T06:54:00Z,6,7,-4
2026-01-15T06:55:00Z,5,5,-4
2026-01-15T06:56:00Z,9,8,-3
2026-01-15T06:57:00Z,6,6,-3
2026-01-15T06:58:00Z,3,6,-6
2026-01-15T06:59:00Z,4,2,-4
2026-01-15T07:00:00Z,6,8,-6
2026-01-15T07:01:00Z,6,7,-7
2026-01-15T07:02:00Z,6,6,-7
2026-01-15T07:03:00Z,5,5,-7
2026-01-15T07:04:00Z,9,8,-6
2026-01-15T07:05:00Z,7,7,-6
2026-01-15T07:06:00Z,5,8,-9
2026-01-15T07:07:00Z,8,8,-9
2026-01-15T07:08:00Z,3,5,-11
2026-01-15T07:09:00Z,8,4,-7
2026-01-15T07:10:00Z,4,7,-10
2026-01-15T07:11:00Z,3,6,-13
2026-01-15T07:12:00Z,6,5,-12
2026-01-15T07:13:00Z,10,9,-11
2026-01-15T07:14:00Z,2,4,-13
2026-01-15T07:15:00Z,7,7,-13
2026-01-15T07:16:00Z,6,5,-12
2026-01-15T07:17:00Z,2,3,-13
2026-01-15T07:18:00Z,3,3,-13
2026-01-15T07:19:00Z,9,6,-10
2026-01-15T07:20:00Z,8,6,-8
2026-01-15T07:21:00Z,11,9,-6
2026-01-15T07:22:00Z,8,10,-8
2026-01-15T07:23:00Z,8,8,-8
2026-01-15T07:24:00Z,11,12,-9
2026-01-15T07:25:00Z,4,8,-13
2026-01-15T07:26:00Z,6,6,-13
2026-01-15T07:27:00Z,10,5,-8
2026-01-15T07:28:00Z,3,6,-11
2026-01-15T07:29:00Z,5,9,-15
2026-01-15T07:30:00Z,9,5,-11
2026-01-15T07:31:00Z,5,6,-12
2026-01-15T07:32:00Z,5,6,-13
2026-01-15T07:33:00Z,6,5,-12
2026-01-15T07:34:00Z,5,5,-12
2026-01-15T07:35:00Z,6,10,-16
2026-01-15T07:36:00Z,7,11,-20
2026-01-15T07:37:00Z,8,5,-17
2026-01-15T07:38:00Z,8,5,-14
2026-01-15T07:39:00Z,8,7,-13
2026-01-15T07:40:00Z,5,9,-17
2026-01-15T07:41:00Z,10,4,-11
2026-01-15T07:42:00Z,6,8,-13
2026-01-15T07:43:00Z,8,10,-15
2026-01-15T07:44:00Z,4,8,-19
2026-01-15T07:45:00Z,6,5,-18
2026-01-15T07:46:00Z,9,8,-17
2026-01-15T07:47:00Z,4,9,-22
2026-01-15T07:48:00Z,5,5,-22
2026-01-15T07:49:00Z,5,3,-20
2026-01-15T07:50:00Z,6,3,-17
2026-01-15T07:51:00Z,10,6,-13
2026-01-15T07:52:00Z,6,4,-11
2026-01-15T07:53:00Z,4,9,-16
2026-01-15T07:54:00Z,3,7,-20
2026-01-15T07:55:00Z,9,6,-17
2026-01-15T07:56:00Z,6,8,-19
2026-01-15T07:57:00Z,8,8,-19
