event_id,direction,ts_utc,source_pax_id,corruption
1,in,2026-01-15T06:00:00Z,2,original
2,out,2026-01-15T06:00:02.575070Z,1,original
3,in,2026-01-15T06:00:03.554932Z,6,original
4,in,2026-01-15T06:00:07.754300Z,3,original
5,in,2026-01-15T06:00:08.553190Z,1,original
6,out,2026-01-15T06:00:09.725028Z,2,original
7,out,2026-01-15T06:00:19.076580Z,4,original
8,out,2026-01-15T06:00:33.773358Z,5,original
9,out,2026-01-15T06:00:34.228972Z,6,original
10,out,2026-01-15T06:00:35.579732Z,3,original
11,in,2026-01-15T06:00:35.796781Z,8,original
12,out,2026-01-15T06:00:37.717478Z,7,original
13,in,2026-01-15T06:00:45.586404Z,10,original
14,in,2026-01-15T06:00:55.006926Z,12,original
15,in,2026-01-15T06:00:56.549653Z,9,original
16,in,2026-01-15T06:01:00.357027Z,11,original
17,out,2026-01-15T06:01:03.986347Z,8,original
18,in,2026-01-15T06:01:04.576643Z,13,original
19,out,2026-01-15T06:01:04.730488Z,9,original
20,out,2026-01-15T06:01:08.161096Z,10,original
21,in,2026-01-15T06:01:09.548596Z,14,original
22,in,2026-01-15T06:01:35.846510Z,16,original
23,out,2026-01-15T06:01:44.270467Z,11,original
24,out,2026-01-15T06:01:47.637950Z,12,original
25,in,2026-01-15T06:01:49.064215Z,17,original
26,out,2026-01-15T06:01:52.189313Z,15,original
27,out,2026-01-15T06:01:52.559442Z,13,original
28,out,2026-01-15T06:02:00.704473Z,16,original
29,in,2026-01-15T06:02:02.608555Z,18,original
30,out,2026-01-15T06:02:02.962123Z,14,original
31,in,2026-01-15T06:02:05.243959Z,19,original
32,out,2026-01-15T06:02:16.821344Z,17,original
33,in,2026-01-15T06:02:38.488351Z,23,original
34,out,2026-01-15T06:02:46.567985Z,18,original
35,in,2026-01-15T06:02:47.006281Z,22,original
36,in,2026-01-15T06:02:50.660710Z,24,original
37,in,2026-01-15T06:02:52.431268Z,21,original
38,in,2026-01-15T06:02:55.622811Z,20,original
39,out,2026-01-15T06:02:57.749539Z,19,original
40,out,2026-01-15T06:03:03.950028Z,21,original
41,out,2026-01-15T06:03:07.231758Z,23,original
42,out,2026-01-15T06:03:13.378036Z,22,original
43,out,2026-01-15T06:03:15.601842Z,24,original
44,out,2026-01-15T06:03:17.984410Z,25,original
45,in,2026-01-15T06:03:23.714436Z,26,original
46,out,2026-01-15T06:03:27.519516Z,28,original
47,out,2026-01-15T06:03:30.558699Z,27,original
48,out,2026-01-15T06:03:30.736572Z,26,original
49,in,2026-01-15T06:03:49.643450Z,29,original
50,out,2026-01-15T06:03:53.170043Z,29,original
51,out,2026-01-15T06:04:08.037087Z,30,original
52,in,2026-01-15T06:04:09.819250Z,35,original
53,in,2026-01-15T06:04:13.960869Z,36,original
54,in,2026-01-15T06:04:14.569522Z,33,original
55,out,2026-01-15T06:04:14.939105Z,31,original
56,in,2026-01-15T06:04:16.562245Z,37,original
57,in,2026-01-15T06:04:16.801062Z,34,original
58,out,2026-01-15T06:04:23.412959Z,32,original
59,in,2026-01-15T06:04:29.600967Z,40,original
60,in,2026-01-15T06:04:33.638681Z,38,original
61,in,2026-01-15T06:04:43.821936Z,39,original
62,in,2026-01-15T06:04:44.226619Z,41,original
63,in,2026-01-15T06:04:44.373945Z,43,original
64,out,2026-01-15T06:04:45.313362Z,34,original
65,out,2026-01-15T06:04:51.134925Z,36,original
66,out,2026-01-15T06:04:52.769304Z,33,original
67,out,2026-01-15T06:04:56.876500Z,35,original
68,in,2026-01-15T06:04:59.720748Z,44,original
69,out,2026-01-15T06:05:02.305559Z,37,original
70,out,2026-01-15T06:05:10.830533Z,39,original
71,out,2026-01-15T06:05:19.415942Z,38,original
72,in,2026-01-15T06:05:40.743184Z,46,original
73,in,2026-01-15T06:05:43.419347Z,47,original
74,out,2026-01-15T06:05:48.289262Z,40,original
75,in,2026-01-15T06:05:48.468158Z,48,original
76,in,2026-01-15T06:06:04.405725Z,,spurious
77,in,2026-01-15T06:06:22.143411Z,50,original
78,out,2026-01-15T06:06:24.080513Z,41,original
79,in,2026-01-15T06:06:31.418312Z,49,original
80,out,2026-01-15T06:06:40.945361Z,42,original
81,out,2026-01-15T06:06:57.216462Z,44,original
82,out,2026-01-15T06:07:05.307865Z,45,original
83,out,2026-01-15T06:07:05.893682Z,46,original
84,out,2026-01-15T06:07:06.924562Z,47,original
85,in,2026-01-15T06:07:21.185694Z,52,original
86,out,2026-01-15T06:07:24.333702Z,,spurious
87,out,2026-01-15T06:07:27.130877Z,49,original
88,in,2026-01-15T06:07:32.117374Z,53,original
89,out,2026-01-15T06:07:32.897408Z,48,original
90,out,2026-01-15T06:07:36.584796Z,50,original
91,out,2026-01-15T06:07:44.161350Z,51,original
92,out,2026-01-15T06:07:53.412391Z,52,original
93,out,2026-01-15T06:07:58.462871Z,53,original
94,out,2026-01-15T06:08:15.278389Z,55,original
95,out,2026-01-15T06:08:15.295560Z,54,original
96,in,2026-01-15T06:08:32.657973Z,56,original
97,out,2026-01-15T06:08:36.623463Z,,spurious
98,in,2026-01-15T06:08:37.949869Z,57,original
99,out,2026-01-15T06:08:38.667005Z,,spurious
100,in,2026-01-15T06:08:41.630526Z,,spurious
101,in,2026-01-15T06:08:45.470425Z,59,original
102,out,2026-01-15T06:08:47.301177Z,56,original
103,out,2026-01-15T06:08:53.422746Z,57,original
104,in,2026-01-15T06:08:54.353500Z,60,original
105,in,2026-01-15T06:08:54.936310Z,61,original
106,out,2026-01-15T06:09:00.590341Z,59,original
107,out,2026-01-15T06:09:09.189664Z,61,original
108,in,2026-01-15T06:09:12.839970Z,62,original
109,out,2026-01-15T06:09:23.802536Z,62,original
110,out,2026-01-15T06:09:36.433262Z,63,original
111,in,2026-01-15T06:09:57.371573Z,64,original
112,in,2026-01-15T06:10:09.768113Z,66,original
113,in,2026-01-15T06:10:12.867200Z,65,original
114,in,2026-01-15T06:10:16.332180Z,67,original
115,out,2026-01-15T06:10:17.482194Z,64,original
116,out,2026-01-15T06:10:25.242161Z,65,original
117,in,2026-01-15T06:10:30.528273Z,68,original
118,out,2026-01-15T06:10:34.801290Z,67,original
119,out,2026-01-15T06:10:36.593122Z,66,original
120,out,2026-01-15T06:10:40.820870Z,68,original
121,in,2026-01-15T06:10:56.515287Z,69,original
122,out,2026-01-15T06:11:04.222522Z,69,original
123,out,2026-01-15T06:11:11.011757Z,70,original
124,in,2026-01-15T06:11:11.801249Z,70,original
125,in,2026-01-15T06:11:13.223875Z,71,original
126,out,2026-01-15T06:11:13.842253Z,71,original
127,in,2026-01-15T06:11:14.084557Z,72,original
128,in,2026-01-15T06:11:18.907309Z,73,original
129,out,2026-01-15T06:11:21.346033Z,72,original
130,out,2026-01-15T06:11:21.692735Z,74,original
131,out,2026-01-15T06:11:23.022327Z,73,original
132,in,2026-01-15T06:11:24.226453Z,74,original
133,in,2026-01-15T06:11:32.284267Z,75,original
134,out,2026-01-15T06:11:42.784386Z,75,original
135,in,2026-01-15T06:11:50.562880Z,79,original
136,in,2026-01-15T06:11:51.487769Z,,spurious
137,out,2026-01-15T06:11:54.679702Z,76,original
138,in,2026-01-15T06:12:10.814892Z,80,original
139,in,2026-01-15T06:12:12.869392Z,87,original
140,in,2026-01-15T06:12:15.935810Z,84,original
141,in,2026-01-15T06:12:18.751399Z,83,original
142,in,2026-01-15T06:12:18.782250Z,82,original
143,in,2026-01-15T06:12:19.238670Z,88,original
144,out,2026-01-15T06:12:22.266551Z,80,original
145,out,2026-01-15T06:12:28.549401Z,78,original
146,in,2026-01-15T06:12:28.774416Z,89,original
147,out,2026-01-15T06:12:32.436055Z,81,original
148,out,2026-01-15T06:12:41.055754Z,82,original
149,out,2026-01-15T06:12:43.876200Z,79,original
150,in,2026-01-15T06:12:52.014776Z,91,original
151,in,2026-01-15T06:12:54.212158Z,90,original
152,in,2026-01-15T06:13:19.099272Z,92,original
153,out,2026-01-15T06:13:19.839804Z,84,original
154,out,2026-01-15T06:13:22.138751Z,83,original
155,in,2026-01-15T06:13:23.506230Z,94,original
156,out,2026-01-15T06:13:24.827512Z,85,original
157,in,2026-01-15T06:13:27.161472Z,96,original
158,in,2026-01-15T06:13:31.501237Z,95,original
159,in,2026-01-15T06:13:35.582535Z,97,original
160,out,2026-01-15T06:13:39.138640Z,87,original
161,in,2026-01-15T06:13:41.505470Z,98,original
162,out,2026-01-15T06:13:42.185118Z,86,original
163,in,2026-01-15T06:13:54.281884Z,99,original
164,in,2026-01-15T06:13:59.561683Z,101,original
165,out,2026-01-15T06:14:02.355609Z,88,original
166,in,2026-01-15T06:14:02.830266Z,103,original
167,out,2026-01-15T06:14:08.792237Z,89,original
168,in,2026-01-15T06:14:16.503482Z,104,original
169,out,2026-01-15T06:14:22.190570Z,90,original
170,out,2026-01-15T06:14:27.506775Z,91,original
171,out,2026-01-15T06:14:43.145942Z,92,original
172,out,2026-01-15T06:14:45.197454Z,93,original
173,in,2026-01-15T06:14:47.338236Z,105,original
174,out,2026-01-15T06:15:03.424383Z,94,original
175,out,2026-01-15T06:15:04.728178Z,96,original
176,out,2026-01-15T06:15:08.520487Z,,spurious
177,out,2026-01-15T06:15:12.550433Z,95,original
178,out,2026-01-15T06:15:22.220004Z,97,original
179,in,2026-01-15T06:15:25.747677Z,106,original
180,out,2026-01-15T06:15:31.128153Z,101,original
181,out,2026-01-15T06:15:34.590480Z,98,original
182,out,2026-01-15T06:15:38.943694Z,99,original
183,in,2026-01-15T06:15:40.437826Z,108,original
184,out,2026-01-15T06:15:42.633315Z,100,original
185,out,2026-01-15T06:15:47.279204Z,102,original
186,in,2026-01-15T06:15:54.146553Z,110,original
187,out,2026-01-15T06:15:54.950880Z,103,original
