minute_start_utc,in_count,out_count,naive_occupancy_end
2026-01-15T06:00:00Z,8,7,1
2026-01-15T06:01:00Z,5,7,-1
2026-01-15T06:02:00Z,7,5,1
2026-01-15T06:03:00Z,2,9,-6
2026-01-15T06:04:00Z,11,7,-2
2026-01-15T06:05:00Z,3,4,-3
2026-01-15T06:06:00Z,3,3,-3
2026-01-15T06:07:00Z,2,10,-11
2026-01-15T06:08:00Z,6,6,-11
2026-01-15T06:09:00Z,2,4,-13
2026-01-15T06:10:00Z,5,5,-13
2026-01-15T06:11:00Z,8,8,-13
2026-01-15T06:12:00Z,9,5,-9
2026-01-15T06:13:00Z,8,5,-6
2026-01-15T06:14:00Z,3,6,-9
2026-01-15T06:15:00Z,4,11,-16
2026-01-15T06:16:00Z,9,6,-13
2026-01-15T06:17:00Z,5,5,-13
2026-01-15T06:18:00Z,5,4,-12
2026-01-15T06:19:00Z,5,8,-15
2026-01-15T06:20:00Z,6,7,-16
2026-01-15T06:21:00Z,8,9,-17
2026-01-15T06:22:00Z,4,9,-22
2026-01-15T06:23:00Z,6,8,-24
2026-01-15T06:24:00Z,7,6,-23
2026-01-15T06:25:00Z,10,4,-17
2026-01-15T06:26:00Z,5,5,-17
2026-01-15T06:27:00Z,6,6,-17
2026-01-15T06:28:00Z,2,14,-29
2026-01-15T06:29:00Z,5,3,-27
2026-01-15T06:30:00Z,7,7,-27
2026-01-15T06:31:00Z,3,9,-33
2026-01-15T06:32:00Z,8,6,-31
2026-01-15T06:33:00Z,8,5,-28
2026-01-15T06:34:00Z,4,7,-31
2026-01-15T06:35:00Z,8,4,-27
2026-01-15T06:36:00Z,5,6,-28
2026-01-15T06:37:00Z,8,6,-26
2026-01-15T06:38:00Z,5,5,-26
2026-01-15T06:39:00Z,9,8,-25
2026-01-15T06:40:00Z,7,5,-23
2026-01-15T06:41:00Z,6,4,-21
2026-01-15T06:42:00Z,5,6,-22
2026-01-15T06:43:00Z,7,7,-22
2026-01-15T06:44:00Z,6,7,-23
2026-01-15T06:45:00Z,6,8,-25
2026-01-15T06:46:00Z,7,8,-26
2026-01-15T06:47:00Z,3,3,-26
2026-01-15T06:48:00Z,5,7,-28
2026-01-15T06:49:00Z,5,7,-30
2026-01-15T06:50:00Z,6,7,-31
2026-01-15T06:51:00Z,7,10,-34
2026-01-15T06:52:00Z,5,5,-34
2026-01-15T06:53:00Z,3,14,-45
2026-01-15T06:54:00Z,6,6,-45
2026-01-15T06:55:00Z,6,7,-46
2026-01-15T06:56:00Z,7,6,-45
2026-01-15T06:57:00Z,6,9,-48
2026-01-15T06:58:00Z,2,6,-52
2026-01-15T06:59:00Z,3,2,-51
2026-01-15T07:00:00Z,3,9,-57
2026-01-15T07:01:00Z,3,6,-60
2026-01-15T07:02:00Z,5,6,-61
2026-01-15T07:03:00Z,4,7,-64
2026-01-15T07:04:00Z,6,7,-65
2026-01-15T07:05:00Z,4,7,-68
2026-01-15T07:06:00Z,3,8,-73
2026-01-15T07:07:00Z,10,5,-68
2026-01-15T07:08:00Z,3,6,-71
2026-01-15T07:09:00Z,6,4,-69
2026-01-15T07:10:00Z,2,7,-74
2026-01-15T07:11:00Z,1,4,-77
2026-01-15T07:12:00Z,7,4,-74
2026-01-15T07:13:00Z,7,9,-76
2026-01-15T07:14:00Z,1,4,-79
2026-01-15T07:15:00Z,4,7,-82
2026-01-15T07:16:00Z,7,5,-80
2026-01-15T07:17:00Z,2,3,-81
2026-01-15T07:18:00Z,3,4,-82
2026-01-15T07:19:00Z,9,5,-78
2026-01-15T07:20:00Z,9,5,-74
2026-01-15T07:21:00Z,11,9,-72
2026-01-15T07:22:00Z,7,11,-76
2026-01-15T07:23:00Z,6,8,-78
2026-01-15T07:24:00Z,9,10,-79
2026-01-15T07:25:00Z,5,12,-86
2026-01-15T07:26:00Z,5,5,-86
2026-01-15T07:27:00Z,7,5,-84
2026-01-15T07:28:00Z,3,6,-87
2026-01-15T07:29:00Z,5,10,-92
2026-01-15T07:30:00Z,7,6,-91
2026-01-15T07:31:00Z,4,4,-91
2026-01-15T07:32:00Z,5,7,-93
2026-01-15T07:33:00Z,4,4,-93
2026-01-15T07:34:00Z,5,4,-92
2026-01-15T07:35:00Z,5,9,-96
2026-01-15T07:36:00Z,8,10,-98
2026-01-15T07:37:00Z,5,5,-98
2026-01-15T07:38:00Z,6,5,-97
2026-01-15T07:39:00Z,9,6,-94
2026-01-15T07:40:00Z,5,7,-96
2026-01-15T07:41:00Z,8,5,-93
2026-01-15T07:42:00Z,6,8,-95
2026-01-15T07:43:00Z,6,8,-97
2026-01-15T07:44:00Z,5,9,-101
2026-01-15T07:45:00Z,6,5,-100
2026-01-15T07:46:00Z,7,10,-103
2026-01-15T07:47:00Z,3,7,-107
2026-01-15T07:48:00Z,2,5,-110
2026-01-15T07:49:00Z,5,5,-110
2026-01-15T07:50:00Z,4,4,-110
2026-01-15T07:51:00Z,12,7,-105
2026-01-15T07:52:00Z,5,4,-104
2026-01-15T07:53:00Z,5,9,-108
2026-01-15T07:54:00Z,1,7,-114
2026-01-15T07:55:00Z,5,6,-115
2026-01-15T07:56:00Z,6,7,-116
2026-01-15T07:57:00Z,6,7,-117
2026-01-15T07:58:00Z,5,7,-119
2026-01-15T07:59:00Z,4,8,-123
2026-01-15T08:00:00Z,9,7,-121
2026-01-15T08:01:00Z,9,6,-118
2026-01-15T08:02:00Z,5,9,-122
2026-01-15T08:03:00Z,3,5,-124
2026-01-15T08:04:00Z,2,3,-125
2026-01-15T08:05:00Z,3,2,-124
2026-01-15T08:06:00Z,3,4,-125
2026-01-15T08:07:00Z,7,4,-122
2026-01-15T08:08:00Z,4,8,-126
2026-01-15T08:09:00Z,1,2,-127
2026-01-15T08:10:00Z,3,5,-129
2026-01-15T08:11:00Z,5,2,-126
2026-01-15T08:12:00Z,6,4,-124
2026-01-15T08:13:00Z,6,5,-123
2026-01-15T08:14:00Z,3,5,-125
2026-01-15T08:15:00Z,7,10,-128
2026-01-15T08:16:00Z,3,6,-131
2026-01-15T08:17:00Z,7,10,-134
2026-01-15T08:18:00Z,4,4,-134
2026-01-15T08:19:00Z,3,6,-137
2026-01-15T08:20:00Z,6,5,-136
2026-01-15T08:21:00Z,6,9,-139
2026-01-15T08:22:00Z,4,3,-138
2026-01-15T08:23:00Z,6,4,-136
2026-01-15T08:24:00Z,5,10,-141
2026-01-15T08:25:00Z,3,2,-140
2026-01-15T08:26:00Z,1,5,-144
2026-01-15T08:27:00Z,5,6,-145
2026-01-15T08:28:00Z,6,6,-145
2026-01-15T08:29:00Z,7,6,-144
2026-01-15T08:30:00Z,6,11,-149
2026-01-15T08:31:00Z,10,8,-147
2026-01-15T08:32:00Z,4,6,-149
2026-01-15T08:33:00Z,3,4,-150
2026-01-15T08:34:00Z,5,5,-150
2026-01-15T08:35:00Z,6,9,-153
2026-01-15T08:36:00Z,4,8,-157
2026-01-15T08:37:00Z,5,4,-156
2026-01-15T08:38:00Z,5,2,-153
2026-01-15T08:39:00Z,4,9,-158
2026-01-15T08:40:00Z,7,6,-157
2026-01-15T08:41:00Z,5,5,-157
2026-01-15T08:42:00Z,8,5,-154
2026-01-15T08:43:00Z,7,10,-157
2026-01-15T08:44:00Z,7,5,-155
2026-01-15T08:45:00Z,6,10,-159
2026-01-15T08:46:00Z,7,7,-159
2026-01-15T08:47:00Z,3,7,-163
2026-01-15T08:48:00Z,4,10,-169
2026-01-15T08:49:00Z,6,7,-170
2026-01-15T08:50:00Z,3,4,-171
2026-01-15T08:51:00Z,3,4,-172
2026-01-15T08:52:00Z,1,2,-173
2026-01-15T08:53:00Z,6,5,-172
2026-01-15T08:54:00Z,11,6,-167
2026-01-15T08:55:00Z,7,6,-166
2026-01-15T08:56:00Z,5,12,-173
2026-01-15T08:57:00Z,5,4,-172
2026-01-15T08:58:00Z,6,2,-168
2026-01-15T08:59:00Z,3,7,-172
2026-01-15T09:00:00Z,6,5,-171
2026-01-15T09:01:00Z,9,6,-168
2026-01-15T09:02:00Z,6,6,-168
2026-01-15T09:03:00Z,8,4,-164
2026-01-15T09:04:00Z,4,6,-166
2026-01-15T09:05:00Z,11,8,-163
2026-01-15T09:06:00Z,8,9,-164
2026-01-15T09:07:00Z,8,13,-169
2026-01-15T09:08:00Z,7,11,-173
2026-01-15T09:09:00Z,7,6,-172
2026-01-15T09:10:00Z,14,7,-165
2026-01-15T09:11:00Z,17,6,-154
2026-01-15T09:12:00Z,8,15,-161
2026-01-15T09:13:00Z,9,8,-160
2026-01-15T09:14:00Z,8,5,-157
2026-01-15T09:15:00Z,9,6,-154
2026-01-15T09:16:00Z,13,8,-149
2026-01-15T09:17:00Z,8,10,-151
2026-01-15T09:18:00Z,11,4,-144
2026-01-15T09:19:00Z,14,2,-132
2026-01-15T09:20:00Z,12,10,-130
2026-01-15T09:21:00Z,12,7,-125
2026-01-15T09:22:00Z,9,5,-121
2026-01-15T09:23:00Z,6,4,-119
2026-01-15T09:24:00Z,7,6,-118
2026-01-15T09:25:00Z,8,7,-117
2026-01-15T09:26:00Z,10,6,-113
2026-01-15T09:27:00Z,10,7,-110
2026-01-15T09:28:00Z,12,3,-101
2026-01-15T09:29:00Z,12,11,-100
2026-01-15T09:30:00Z,7,10,-103
2026-01-15T09:31:00Z,17,11,-97
2026-01-15T09:32:00Z,7,6,-96
2026-01-15T09:33:00Z,13,8,-91
2026-01-15T09:34:00Z,13,6,-84
2026-01-15T09:35:00Z,3,5,-86
2026-01-15T09:36:00Z,9,11,-88
2026-01-15T09:37:00Z,7,8,-89
2026-01-15T09:38:00Z,7,13,-95
2026-01-15T09:39:00Z,11,9,-93
2026-01-15T09:40:00Z,9,10,-94
2026-01-15T09:41:00Z,8,6,-92
2026-01-15T09:42:00Z,9,10,-93
2026-01-15T09:43:00Z,6,6,-93
2026-01-15T09:44:00Z,6,7,-94
2026-01-15T09:45:00Z,7,12,-99
2026-01-15T09:46:00Z,6,7,-100
2026-01-15T09:47:00Z,12,7,-95
2026-01-15T09:48:00Z,5,15,-105
2026-01-15T09:49:00Z,11,9,-103
2026-01-15T09:50:00Z,13,10,-100
2026-01-15T09:51:00Z,6,7,-101
2026-01-15T09:52:00Z,4,6,-103
2026-01-15T09:53:00Z,9,12,-106
2026-01-15T09:54:00Z,9,8,-105
2026-01-15T09:55:00Z,13,7,-99
2026-01-15T09:56:00Z,9,6,-96
2026-01-15T09:57:00Z,7,8,-97
2026-01-15T09:58:00Z,13,8,-92
2026-01-15T09:59:00Z,14,10,-88
2026-01-15T10:00:00Z,10,9,-87
2026-01-15T10:01:00Z,7,9,-89
2026-01-15T10:02:00Z,8,5,-86
2026-01-15T10:03:00Z,7,5,-84
2026-01-15T10:04:00Z,6,11,-89
2026-01-15T10:05:00Z,8,4,-85
2026-01-15T10:06:00Z,8,8,-85
2026-01-15T10:07:00Z,13,8,-80
2026-01-15T10:08:00Z,9,6,-77
2026-01-15T10:09:00Z,14,11,-74
2026-01-15T10:10:00Z,14,6,-66
2026-01-15T10:11:00Z,17,5,-54
2026-01-15T10:12:00Z,5,13,-62
2026-01-15T10:13:00Z,12,5,-55
2026-01-15T10:14:00Z,10,11,-56
2026-01-15T10:15:00Z,12,5,-49
2026-01-15T10:16:00Z,10,5,-44
2026-01-15T10:17:00Z,13,10,-41
2026-01-15T10:18:00Z,5,5,-41
2026-01-15T10:19:00Z,9,12,-44
2026-01-15T10:20:00Z,10,6,-40
2026-01-15T10:21:00Z,10,14,-44
2026-01-15T10:22:00Z,3,6,-47
2026-01-15T10:23:00Z,6,7,-48
2026-01-15T10:24:00Z,8,9,-49
2026-01-15T10:25:00Z,13,13,-49
2026-01-15T10:26:00Z,11,11,-49
2026-01-15T10:27:00Z,4,10,-55
2026-01-15T10:28:00Z,6,12,-61
2026-01-15T10:29:00Z,8,7,-60
2026-01-15T10:30:00Z,8,12,-64
2026-01-15T10:31:00Z,8,8,-64
2026-01-15T10:32:00Z,6,8,-66
2026-01-15T10:33:00Z,9,8,-65
2026-01-15T10:34:00Z,11,10,-64
2026-01-15T10:35:00Z,10,13,-67
2026-01-15T10:36:00Z,15,9,-61
2026-01-15T10:37:00Z,7,5,-59
2026-01-15T10:38:00Z,8,11,-62
2026-01-15T10:39:00Z,13,14,-63
2026-01-15T10:40:00Z,10,8,-61
2026-01-15T10:41:00Z,10,10,-61
2026-01-15T10:42:00Z,7,11,-65
2026-01-15T10:43:00Z,6,7,-66
