minute_start_utc,in_count,out_count,naive_occupancy_end
2026-01-15T06:00:00Z,11,7,4
2026-01-15T06:01:00Z,5,8,1
2026-01-15T06:02:00Z,6,6,1
2026-01-15T06:03:00Z,6,11,-4
2026-01-15T06:04:00Z,14,7,3
2026-01-15T06:05:00Z,5,4,4
2026-01-15T06:06:00Z,3,6,1
2026-01-15T06:07:00Z,3,9,-5
2026-01-15T06:08:00Z,7,6,-4
2026-01-15T06:09:00Z,2,5,-7
2026-01-15T06:10:00Z,4,5,-8
2026-01-15T06:11:00Z,11,8,-5
2026-01-15T06:12:00Z,11,7,-1
2026-01-15T06:13:00Z,12,6,5
2026-01-15T06:14:00Z,2,7,0
2026-01-15T06:15:00Z,6,9,-3
2026-01-15T06:16:00Z,8,6,-1
2026-01-15T06:17:00Z,4,6,-3
2026-01-15T06:18:00Z,6,5,-2
2026-01-15T06:19:00Z,4,7,-5
2026-01-15T06:20:00Z,7,10,-8
2026-01-15T06:21:00Z,11,10,-7
2026-01-15T06:22:00Z,4,8,-11
2026-01-15T06:23:00Z,5,8,-14
2026-01-15T06:24:00Z,6,6,-14
2026-01-15T06:25:00Z,11,5,-8
2026-01-15T06:26:00Z,5,6,-9
2026-01-15T06:27:00Z,7,7,-9
2026-01-15T06:28:00Z,3,13,-19
2026-01-15T06:29:00Z,6,5,-18
2026-01-15T06:30:00Z,9,7,-16
2026-01-15T06:31:00Z,4,7,-19
2026-01-15T06:32:00Z,9,7,-17
2026-01-15T06:33:00Z,8,7,-16
2026-01-15T06:34:00Z,5,7,-18
2026-01-15T06:35:00Z,9,4,-13
2026-01-15T06:36:00Z,9,8,-12
2026-01-15T06:37:00Z,7,6,-11
2026-01-15T06:38:00Z,5,4,-10
2026-01-15T06:39:00Z,11,9,-8
2026-01-15T06:40:00Z,6,4,-6
2026-01-15T06:41:00Z,6,5,-5
2026-01-15T06:42:00Z,6,8,-7
2026-01-15T06:43:00Z,7,6,-6
2026-01-15T06:44:00Z,5,8,-9
2026-01-15T06:45:00Z,6,8,-11
2026-01-15T06:46:00Z,9,9,-11
2026-01-15T06:47:00Z,4,3,-10
2026-01-15T06:48:00Z,6,6,-10
2026-01-15T06:49:00Z,6,8,-12
2026-01-15T06:50:00Z,3,6,-15
2026-01-15T06:51:00Z,8,13,-20
2026-01-15T06:52:00Z,5,6,-21
2026-01-15T06:53:00Z,3,13,-31
2026-01-15T06:54:00Z,5,6,-32
2026-01-15T06:55:00Z,5,7,-34
2026-01-15T06:56:00Z,6,8,-36
2026-01-15T06:57:00Z,9,7,-34
2026-01-15T06:58:00Z,2,6,-38
2026-01-15T06:59:00Z,4,4,-38
2026-01-15T07:00:00Z,6,6,-38
2026-01-15T07:01:00Z,6,7,-39
2026-01-15T07:02:00Z,7,8,-40
2026-01-15T07:03:00Z,4,5,-41
