event_id,direction,ts_utc,source_pax_id,corruption
1,out,2026-01-20T00:34:12.287947Z,,aggregate_generated
2,out,2026-01-20T02:35:12.247665Z,,aggregate_generated
3,out,2026-01-20T02:57:47.254415Z,,aggregate_generated
4,out,2026-01-20T03:30:15.558300Z,,aggregate_generated
5,out,2026-01-20T04:54:53.941782Z,,aggregate_generated
6,in,2026-01-20T06:11:27.627926Z,,aggregate_generated
7,out,2026-01-20T06:11:30.022636Z,,aggregate_generated
8,in,2026-01-20T06:12:04.611100Z,,aggregate_generated
9,out,2026-01-20T06:12:15.960912Z,,aggregate_generated
10,out,2026-01-20T06:13:25.409606Z,,aggregate_generated
11,in,2026-01-20T06:13:53.807727Z,,aggregate_generated
12,out,2026-01-20T06:13:53.941810Z,,aggregate_generated
13,in,2026-01-20T06:13:56.048909Z,,aggregate_generated
14,out,2026-01-20T06:14:02.808948Z,,aggregate_generated
15,in,2026-01-20T06:14:16.771943Z,,aggregate_generated
16,in,2026-01-20T06:14:44.090516Z,,aggregate_generated
17,out,2026-01-20T06:14:57.190535Z,,aggregate_generated
18,in,2026-01-20T06:15:00.742946Z,,aggregate_generated
19,in,2026-01-20T06:15:06.578588Z,,aggregate_generated
20,out,2026-01-20T06:15:45.158998Z,,aggregate_generated
21,out,2026-01-20T06:15:55.528043Z,,aggregate_generated
22,out,2026-01-20T06:15:58.056881Z,,aggregate_generated
23,in,2026-01-20T06:16:07.732166Z,,aggregate_generated
24,out,2026-01-20T06:16:11.589490Z,,aggregate_generated
25,in,2026-01-20T06:16:18.766584Z,,aggregate_generated
26,in,2026-01-20T06:16:19.539808Z,,aggregate_generated
27,in,2026-01-20T06:16:20.743767Z,,aggregate_generated
28,out,2026-01-20T06:16:41.237392Z,,aggregate_generated
29,out,2026-01-20T06:16:43.657576Z,,aggregate_generated
30,out,2026-01-20T06:16:52.513930Z,,aggregate_generated
31,in,2026-01-20T06:16:53.367106Z,,aggregate_generated
32,out,2026-01-20T06:16:57.341251Z,,aggregate_generated
33,out,2026-01-20T06:17:04.920483Z,,aggregate_generated
34,in,2026-01-20T06:17:07.099905Z,,aggregate_generated
35,in,2026-01-20T06:17:07.416096Z,,aggregate_generated
36,in,2026-01-20T06:17:08.734745Z,,aggregate_generated
37,in,2026-01-20T06:17:15.978961Z,,aggregate_generated
38,out,2026-01-20T06:17:16.901317Z,,aggregate_generated
39,out,2026-01-20T06:17:29.667564Z,,aggregate_generated
40,out,2026-01-20T06:17:50.644568Z,,aggregate_generated
41,out,2026-01-20T06:17:51.163237Z,,aggregate_generated
42,in,2026-01-20T06:17:52.262118Z,,aggregate_generated
43,out,2026-01-20T06:17:53.884219Z,,aggregate_generated
44,out,2026-01-20T06:18:04.844459Z,,aggregate_generated
45,out,2026-01-20T06:18:06.470282Z,,aggregate_generated
46,out,2026-01-20T06:18:06.556176Z,,aggregate_generated
47,in,2026-01-20T06:18:13.996333Z,,aggregate_generated
48,out,2026-01-20T06:18:19.006549Z,,aggregate_generated
49,in,2026-01-20T06:18:28.063367Z,,aggregate_generated
50,out,2026-01-20T06:18:34.835457Z,,aggregate_generated
51,in,2026-01-20T06:18:42.470512Z,,aggregate_generated
52,out,2026-01-20T06:18:44.432985Z,,aggregate_generated
53,in,2026-01-20T06:18:44.596657Z,,aggregate_generated
54,in,2026-01-20T06:18:50.295617Z,,aggregate_generated
55,in,2026-01-20T06:18:57.284974Z,,aggregate_generated
56,out,2026-01-20T06:19:03.800452Z,,aggregate_generated
57,in,2026-01-20T06:19:09.414535Z,,aggregate_generated
58,out,2026-01-20T06:19:10.991343Z,,aggregate_generated
59,out,2026-01-20T06:19:11.715718Z,,aggregate_generated
60,in,2026-01-20T06:19:14.504398Z,,aggregate_generated
