event_id,direction,ts_utc,source_pax_id,corruption
1,in,2026-01-20T00:42:02.835670Z,,aggregate_generated
2,in,2026-01-20T01:35:38.218285Z,,aggregate_generated
3,in,2026-01-20T02:03:11.877621Z,,aggregate_generated
4,out,2026-01-20T03:22:28.375161Z,,aggregate_generated
5,out,2026-01-20T03:53:11.978304Z,,aggregate_generated
6,out,2026-01-20T04:27:50.921826Z,,aggregate_generated
7,out,2026-01-20T04:34:48.942279Z,,aggregate_generated
8,in,2026-01-20T05:04:55.932033Z,,aggregate_generated
9,in,2026-01-20T05:34:49.322706Z,,aggregate_generated
10,out,2026-01-20T06:11:35.452516Z,,aggregate_generated
11,out,2026-01-20T06:12:02.561723Z,,aggregate_generated
12,in,2026-01-20T06:12:41.438902Z,,aggregate_generated
13,in,2026-01-20T06:13:31.652062Z,,aggregate_generated
14,in,2026-01-20T06:13:38.760642Z,,aggregate_generated
15,out,2026-01-20T06:13:39.097106Z,,aggregate_generated
16,out,2026-01-20T06:13:48.161033Z,,aggregate_generated
17,out,2026-01-20T06:14:10.690321Z,,aggregate_generated
18,in,2026-01-20T06:14:18.336185Z,,aggregate_generated
19,out,2026-01-20T06:14:34.912019Z,,aggregate_generated
20,in,2026-01-20T06:14:40.716630Z,,aggregate_generated
21,in,2026-01-20T06:15:02.769024Z,,aggregate_generated
22,in,2026-01-20T06:15:17.396505Z,,aggregate_generated
23,out,2026-01-20T06:15:25.256659Z,,aggregate_generated
24,in,2026-01-20T06:15:28.783934Z,,aggregate_generated
25,out,2026-01-20T06:15:49.716653Z,,aggregate_generated
26,out,2026-01-20T06:16:07.848053Z,,aggregate_generated
27,out,2026-01-20T06:16:09.025376Z,,aggregate_generated
28,out,2026-01-20T06:16:12.459938Z,,aggregate_generated
29,out,2026-01-20T06:16:21.437043Z,,aggregate_generated
30,in,2026-01-20T06:16:23.228926Z,,aggregate_generated
31,in,2026-01-20T06:16:31.831247Z,,aggregate_generated
32,in,2026-01-20T06:16:39.212925Z,,aggregate_generated
33,out,2026-01-20T06:16:40.302192Z,,aggregate_generated
34,in,2026-01-20T06:16:50.273550Z,,aggregate_generated
