pax_id,in_ts_utc,out_ts_utc,wait_seconds
1,2026-01-15T06:00:01.806069Z,2026-01-15T06:00:05.734212Z,3.928
2,2026-01-15T06:00:06.663741Z,2026-01-15T06:00:07.663741Z,1.0
3,2026-01-15T06:00:10.206586Z,2026-01-15T06:00:21.103594Z,10.897
4,2026-01-15T06:00:10.658735Z,2026-01-15T06:00:29.095143Z,18.436
5,2026-01-15T06:00:10.992959Z,2026-01-15T06:00:30.095143Z,19.102
6,2026-01-15T06:00:14.153170Z,2026-01-15T06:00:33.159722Z,19.007
7,2026-01-15T06:00:22.682242Z,2026-01-15T06:00:38.699036Z,16.017
8,2026-01-15T06:00:39.945570Z,2026-01-15T06:01:04.553255Z,24.608
9,2026-01-15T06:00:48.969721Z,2026-01-15T06:01:07.274755Z,18.305
10,2026-01-15T06:00:49.688719Z,2026-01-15T06:01:08.274755Z,18.586
11,2026-01-15T06:00:57.012599Z,2026-01-15T06:01:40.185009Z,43.172
12,2026-01-15T06:01:00.674943Z,2026-01-15T06:01:41.628038Z,40.953
13,2026-01-15T06:01:00.958564Z,2026-01-15T06:01:54.822473Z,53.864
14,2026-01-15T06:01:06.223264Z,2026-01-15T06:01:55.822473Z,49.599
15,2026-01-15T06:01:10.749737Z,2026-01-15T06:02:01.478173Z,50.728
16,2026-01-15T06:01:28.812967Z,2026-01-15T06:02:09.135536Z,40.323
17,2026-01-15T06:01:46.908984Z,2026-01-15T06:02:16.168165Z,29.259
18,2026-01-15T06:02:06.644210Z,2026-01-15T06:02:48.901809Z,42.258
19,2026-01-15T06:02:16.131887Z,2026-01-15T06:02:51.321823Z,35.19
20,2026-01-15T06:02:40.615628Z,2026-01-15T06:02:54.036477Z,13.421
21,2026-01-15T06:02:43.819735Z,2026-01-15T06:03:00.475268Z,16.656
22,2026-01-15T06:02:44.739432Z,2026-01-15T06:03:02.033077Z,17.294
23,2026-01-15T06:02:47.415746Z,2026-01-15T06:03:12.113173Z,24.697
24,2026-01-15T06:03:00.497513Z,2026-01-15T06:03:21.748480Z,21.251
25,2026-01-15T06:03:17.150167Z,2026-01-15T06:03:25.740013Z,8.59
26,2026-01-15T06:03:18.044855Z,2026-01-15T06:03:28.285355Z,10.241
27,2026-01-15T06:03:23.376406Z,2026-01-15T06:03:31.408588Z,8.032
28,2026-01-15T06:03:23.395338Z,2026-01-15T06:03:37.014534Z,13.619
29,2026-01-15T06:03:48.192851Z,2026-01-15T06:03:52.914876Z,4.722
30,2026-01-15T06:04:10.677548Z,2026-01-15T06:04:11.677548Z,1.0
31,2026-01-15T06:04:11.478631Z,2026-01-15T06:04:13.304545Z,1.826
32,2026-01-15T06:04:12.559360Z,2026-01-15T06:04:25.392995Z,12.834
33,2026-01-15T06:04:14.477499Z,2026-01-15T06:04:49.464769Z,34.987
34,2026-01-15T06:04:14.478576Z,2026-01-15T06:04:50.983713Z,36.505
35,2026-01-15T06:04:14.972371Z,2026-01-15T06:04:55.751211Z,40.779
36,2026-01-15T06:04:19.485886Z,2026-01-15T06:05:00.472812Z,40.987
37,2026-01-15T06:04:20.827564Z,2026-01-15T06:05:04.334628Z,43.507
38,2026-01-15T06:04:22.917474Z,2026-01-15T06:05:10.980789Z,48.063
39,2026-01-15T06:04:34.950686Z,2026-01-15T06:05:11.980789Z,37.03
40,2026-01-15T06:04:36.886919Z,2026-01-15T06:05:45.912157Z,69.025
41,2026-01-15T06:04:45.034210Z,2026-01-15T06:06:29.648350Z,104.614
42,2026-01-15T06:04:48.609695Z,2026-01-15T06:06:36.698189Z,108.088
43,2026-01-15T06:04:52.225614Z,2026-01-15T06:06:45.384915Z,113.159
44,2026-01-15T06:05:06.273789Z,2026-01-15T06:06:50.697411Z,104.424
45,2026-01-15T06:05:12.473650Z,2026-01-15T06:06:52.645496Z,100.172
46,2026-01-15T06:05:40.099561Z,2026-01-15T06:07:08.365663Z,88.266
47,2026-01-15T06:05:40.230337Z,2026-01-15T06:07:09.852855Z,89.623
48,2026-01-15T06:05:56.085711Z,2026-01-15T06:07:10.852855Z,74.767
49,2026-01-15T06:06:23.159852Z,2026-01-15T06:07:34.805656Z,71.646
50,2026-01-15T06:06:24.309333Z,2026-01-15T06:07:46.146896Z,81.838
51,2026-01-15T06:06:25.320263Z,2026-01-15T06:07:47.146896Z,81.827
52,2026-01-15T06:07:20.322779Z,2026-01-15T06:07:59.587643Z,39.265
53,2026-01-15T06:07:28.646127Z,2026-01-15T06:08:02.589996Z,33.944
54,2026-01-15T06:07:29.273190Z,2026-01-15T06:08:11.958135Z,42.685
55,2026-01-15T06:08:01.625157Z,2026-01-15T06:08:13.192803Z,11.568
56,2026-01-15T06:08:32.099948Z,2026-01-15T06:08:48.788273Z,16.688
57,2026-01-15T06:08:33.439017Z,2026-01-15T06:08:53.458577Z,20.02
58,2026-01-15T06:08:36.094681Z,2026-01-15T06:08:59.915475Z,23.821
