pax_id,in_ts_utc,out_ts_utc,wait_seconds
1,2026-01-20T06:11:17.482424Z,2026-01-20T06:11:26.647249Z,9.165
2,2026-01-20T06:12:21.107948Z,2026-01-20T06:12:14.568919Z,-6.539
3,2026-01-20T06:13:16.978637Z,2026-01-20T06:13:28.550404Z,11.572
4,2026-01-20T06:13:40.600121Z,2026-01-20T06:13:55.677686Z,15.078
5,2026-01-20T06:14:54.615673Z,2026-01-20T06:14:22.136558Z,-32.479
6,2026-01-20T06:14:56.959096Z,2026-01-20T06:14:36.171171Z,-20.788
7,2026-01-20T06:15:38.985989Z,2026-01-20T06:15:01.415298Z,-37.571
8,2026-01-20T06:15:51.715638Z,2026-01-20T06:15:01.734193Z,-49.981
9,2026-01-20T06:15:56.850119Z,2026-01-20T06:15:41.164466Z,-15.686
10,2026-01-20T06:16:10.771318Z,2026-01-20T06:16:00.917464Z,-9.854
11,2026-01-20T06:16:24.612606Z,2026-01-20T06:16:27.060315Z,2.448
12,2026-01-20T06:16:26.581548Z,2026-01-20T06:16:29.423373Z,2.842
13,2026-01-20T06:16:57.382753Z,2026-01-20T06:16:54.004003Z,-3.379
14,2026-01-20T06:16:59.447994Z,2026-01-20T06:16:56.233146Z,-3.215
15,2026-01-20T06:17:09.931878Z,2026-01-20T06:17:05.089755Z,-4.842
16,2026-01-20T06:17:20.057077Z,2026-01-20T06:17:06.023293Z,-14.034
17,2026-01-20T06:17:25.364600Z,2026-01-20T06:17:17.682971Z,-7.682
18,2026-01-20T06:17:44.376933Z,2026-01-20T06:17:43.881257Z,-0.496
19,2026-01-20T06:17:51.099664Z,2026-01-20T06:17:46.214471Z,-4.885
20,2026-01-20T06:17:52.494655Z,2026-01-20T06:17:58.255803Z,5.761
21,2026-01-20T06:18:16.118801Z,2026-01-20T06:18:08.675206Z,-7.444
22,2026-01-20T06:18:23.564271Z,2026-01-20T06:18:10.349059Z,-13.215
23,2026-01-20T06:18:37.307349Z,2026-01-20T06:18:22.274597Z,-15.033
24,2026-01-20T06:18:45.188865Z,2026-01-20T06:18:33.270300Z,-11.919
25,2026-01-20T06:18:46.329779Z,2026-01-20T06:18:35.803095Z,-10.527
26,2026-01-20T06:18:49.728815Z,2026-01-20T06:18:36.255374Z,-13.473
27,2026-01-20T06:18:58.034488Z,2026-01-20T06:18:41.834507Z,-16.2
28,2026-01-20T06:19:01.712287Z,2026-01-20T06:19:08.128050Z,6.416
29,2026-01-20T06:19:09.836668Z,2026-01-20T06:19:13.540869Z,3.704
