minute_start_utc,in_count_measured,out_count_measured,in_count_corrected,out_count_corrected,occupancy_corrected_end,occupancy_truth_end,occupancy_abs_err
2026-01-15T06:00:00Z,11.0,7.0,11.556836056971207,6.92209993541897,4.634736121546819,4,0.634736121546819
2026-01-15T06:01:00Z,5.0,8.0,6.13310359154549,7.902540623063151,2.8652990900237416,3,0.1347009099762584
2026-01-15T06:02:00Z,6.0,6.0,6.81098935220487,5.951559527158101,3.7247289150650937,3,0.7247289150650937
2026-01-15T06:03:00Z,6.0,11.0,7.1482085520946015,10.872937466638025,5.162548778470143e-10,0,5.162548778470143e-10
2026-01-15T06:04:00Z,14.0,7.0,13.889145186860814,6.942262338133395,6.946882849754559,8,1.0531171502454413
2026-01-15T06:05:00Z,5.0,4.0,5.914731365465608,3.9623091255409677,8.899305090189955,8,0.8993050901899551
2026-01-15T06:06:00Z,3.0,6.0,3.7366906550767487,5.942435313799681,6.6935604319779145,6,0.6935604319779145
2026-01-15T06:07:00Z,3.0,9.0,3.7942088423155353,8.90787856015399,1.579890714650105,2,0.4201092853498949
2026-01-15T06:08:00Z,7.0,6.0,7.2376496636441265,5.94728814377184,2.870252235033263,3,0.12974776496673712
2026-01-15T06:09:00Z,2.0,5.0,2.9358295345159466,4.9425807993383,0.863500970721816,0,0.863500970721816
2026-01-15T06:10:00Z,4.0,5.0,4.852345858440059,4.9522876540682725,0.7635591756043141,0,0.7635591756043141
2026-01-15T06:11:00Z,11.0,8.0,11.31752509716238,7.917779670687583,4.163304602589847,3,1.1633046025898466
2026-01-15T06:12:00Z,11.0,7.0,11.634952005584061,6.937460192597556,8.860796416087112,9,0.139203583912888
2026-01-15T06:13:00Z,12.0,6.0,12.153164729784885,5.947433624139764,15.066527522242893,16,0.9334724777571068
2026-01-15T06:14:00Z,2.0,7.0,3.2364177286189353,6.942386298910392,11.360558952461986,11,0.3605589524619859
2026-01-15T06:15:00Z,6.0,9.0,6.549770950796612,8.91285319899716,8.997476704771941,8,0.9974767047719411
2026-01-15T06:16:00Z,8.0,6.0,8.360288809092825,5.952214372523044,11.405551141852243,11,0.40555114185224284
2026-01-15T06:17:00Z,4.0,6.0,4.878328435845496,5.932704558240548,10.351175019967627,10,0.3511750199676271
2026-01-15T06:18:00Z,6.0,5.0,6.46468232971432,4.952360936032927,11.863496414159442,12,0.13650358584055766
2026-01-15T06:19:00Z,4.0,7.0,4.84642832887499,6.942459103564726,9.767465639980003,9,0.7674656399800028
2026-01-15T06:20:00Z,7.0,10.0,7.658486374533397,9.922632609190423,7.503319405833167,8,0.49668059416683263
2026-01-15T06:21:00Z,11.0,10.0,11.142017335043851,9.927582622849275,8.717754118537812,8,0.7177541185378118
2026-01-15T06:22:00Z,4.0,8.0,4.96764037299569,7.947311923916709,5.73808256812697,5,0.7380825681269698
2026-01-15T06:23:00Z,5.0,8.0,5.647816197000469,7.92768077628956,3.458217989347702,2,1.4582179893477019
2026-01-15T06:24:00Z,6.0,6.0,6.786061233923533,5.942459707751832,4.301819516029241,2,2.3018195160292407
2026-01-15T06:25:00Z,11.0,5.0,11.147276166191416,4.947435066775309,10.501660615955132,9,1.5016606159551316
2026-01-15T06:26:00Z,5.0,6.0,5.955759580322989,5.937678716876123,10.519741479911659,10,0.5197414799116586
2026-01-15T06:27:00Z,7.0,7.0,7.381179697307467,6.961920739840289,10.939000437888467,10,0.9390004378884669
2026-01-15T06:28:00Z,3.0,13.0,3.9319387923892655,12.868565792926406,2.0023734378609106,1,1.0023734378609106
2026-01-15T06:29:00Z,6.0,5.0,6.623218699956884,4.986624560584875,3.6389675777422212,4,0.36103242225777876
2026-01-15T06:30:00Z,9.0,7.0,9.280617501313538,6.927850644536998,5.991734435027979,6,0.008265564972020911
2026-01-15T06:31:00Z,4.0,7.0,5.052111150742055,6.937460908035179,4.106384678243842,2,2.106384678243842
2026-01-15T06:32:00Z,9.0,7.0,9.36757256116219,6.937508126342882,6.5364491135720755,4,2.5364491135720755
2026-01-15T06:33:00Z,8.0,7.0,8.536229862526323,6.937436039426932,8.135242937180294,5,3.135242937180294
2026-01-15T06:34:00Z,5.0,7.0,5.931229000867811,6.922827345321485,7.143644593235251,4,3.1436445932352513
2026-01-15T06:35:00Z,9.0,4.0,9.45255265896892,3.9719433069589347,12.624253945753708,9,3.6242539457537077
2026-01-15T06:36:00Z,9.0,8.0,9.526673912006848,7.907976338647442,14.2429515196215,10,4.242951519621499
2026-01-15T06:37:00Z,7.0,6.0,7.636017731098483,5.937532867702659,15.94143638352574,12,3.9414363835257404
2026-01-15T06:38:00Z,5.0,4.0,5.967460405639097,3.9719187975769024,17.936977992095876,12,5.936977992095876
2026-01-15T06:39:00Z,11.0,9.0,11.149855331208514,8.888320198321942,20.198513125490308,15,5.198513125490308
2026-01-15T06:40:00Z,6.0,4.0,6.83110092116845,3.9670173169424867,23.062596730224016,17,6.062596730224016
2026-01-15T06:41:00Z,6.0,5.0,6.636108873897836,4.9474339783358765,24.751271626293487,18,6.751271626293487
2026-01-15T06:42:00Z,6.0,8.0,6.665038140372279,7.912902564760311,23.50340720241286,20,3.503407202412859
2026-01-15T06:43:00Z,7.0,6.0,7.496473943677202,5.957140467473403,25.04274067912388,21,4.042740679123881
2026-01-15T06:44:00Z,5.0,8.0,5.7591322407172365,7.927728338253847,22.87414458209423,19,3.8741445820942317
2026-01-15T06:45:00Z,6.0,8.0,6.706178860309883,7.942240445139242,21.638082997771903,17,4.638082997771903
2026-01-15T06:46:00Z,9.0,9.0,9.27854607953654,8.903098279944713,22.01353079787043,19,3.0135307978704304
2026-01-15T06:47:00Z,4.0,3.0,4.9235781653715405,2.981868921286815,23.95524004246164,20,3.9552400424616394
2026-01-15T06:48:00Z,6.0,6.0,6.541916714169869,5.9326807578941185,24.564475999243598,20,4.564475999243598
2026-01-15T06:49:00Z,6.0,8.0,6.500332578767964,7.917901234319731,23.146907344197928,17,6.146907344197928
2026-01-15T06:50:00Z,3.0,6.0,3.9671429252136283,5.98162576156145,21.13242450835594,16,5.132424508355939
2026-01-15T06:51:00Z,8.0,13.0,8.278554553723218,12.868759916620313,16.542219145964395,14,2.5422191459643955
2026-01-15T06:52:00Z,5.0,6.0,5.662799903009949,6.006134842706944,16.19888420677279,12,4.198884206772789
2026-01-15T06:53:00Z,3.0,13.0,3.8047858245494415,12.86873589136512,7.134934140462292,4,3.134934140462292
2026-01-15T06:54:00Z,5.0,6.0,5.544230612093358,5.976772931226287,6.702391821834226,2,4.702391821834226
2026-01-15T06:55:00Z,5.0,7.0,5.6700298767038815,6.937654074296771,5.43476762474603,2,3.43476762474603
2026-01-15T06:56:00Z,6.0,8.0,6.698168767998692,7.927608077222272,4.205328316026851,2,2.2053283160268506
2026-01-15T06:57:00Z,9.0,7.0,9.191424966505823,6.937435670426634,6.459317612610164,4,2.459317612610164
