episode_id,start_idx,end_idx,start_ts_utc,end_ts_utc,duration_minutes
1,359,411,2026-01-20 05:59:00+00:00,2026-01-20 06:51:00+00:00,53
2,403,522,2026-01-20 06:43:00+00:00,2026-01-20 08:42:00+00:00,120
3,899,1098,2026-01-20 14:59:00+00:00,2026-01-20 18:18:00+00:00,200
4,1194,1227,2026-01-20 19:54:00+00:00,2026-01-20 20:27:00+00:00,34
5,1807,2046,2026-01-21 06:07:00+00:00,2026-01-21 10:06:00+00:00,240
6,2240,2296,2026-01-21 13:20:00+00:00,2026-01-21 14:16:00+00:00,57
7,2328,2691,2026-01-21 14:48:00+00:00,2026-01-21 20:51:00+00:00,364
8,3229,3404,2026-01-22 05:49:00+00:00,2026-01-22 08:44:00+00:00,176
9,3496,3569,2026-01-22 10:16:00+00:00,2026-01-22 11:29:00+00:00,74
10,3766,3985,2026-01-22 14:46:00+00:00,2026-01-22 18:25:00+00:00,220
11,4103,4162,2026-01-22 20:23:00+00:00,2026-01-22 21:22:00+00:00,60
12,4258,4294,2026-01-22 22:58:00+00:00,2026-01-22 23:34:00+00:00,37
