episode_id,start_idx,end_idx,start_ts_utc,end_ts_utc,duration_minutes
1,255,286,2026-01-20 04:15:00+00:00,2026-01-20 04:46:00+00:00,32
2,359,411,2026-01-20 05:59:00+00:00,2026-01-20 06:51:00+00:00,53
3,403,522,2026-01-20 06:43:00+00:00,2026-01-20 08:42:00+00:00,120
4,899,1098,2026-01-20 14:59:00+00:00,2026-01-20 18:18:00+00:00,200
5,1634,1669,2026-01-21 03:14:00+00:00,2026-01-21 03:49:00+00:00,36
6,1807,2046,2026-01-21 06:07:00+00:00,2026-01-21 10:06:00+00:00,240
7,2243,2296,2026-01-21 13:23:00+00:00,2026-01-21 14:16:00+00:00,54
8,2315,2691,2026-01-21 14:35:00+00:00,2026-01-21 20:51:00+00:00,377
9,2753,2792,2026-01-21 21:53:00+00:00,2026-01-21 22:32:00+00:00,40
10,3229,3404,2026-01-22 05:49:00+00:00,2026-01-22 08:44:00+00:00,176
11,3468,3500,2026-01-22 09:48:00+00:00,2026-01-22 10:20:00+00:00,33
12,3508,3569,2026-01-22 10:28:00+00:00,2026-01-22 11:29:00+00:00,62
13,3585,3625,2026-01-22 11:45:00+00:00,2026-01-22 12:25:00+00:00,41
14,3770,3985,2026-01-22 14:50:00+00:00,2026-01-22 18:25:00+00:00,216
15,4015,4053,2026-01-22 18:55:00+00:00,2026-01-22 19:33:00+00:00,39
16,4103,4162,2026-01-22 20:23:00+00:00,2026-01-22 21:22:00+00:00,60
